id_cantitate,cantitate
1||1566565||2||2,-1
1||1666677||1||4,4
1||1666677||1||5,2
1||1850587||4||2,-1
1||1871934||3||2,-1
1||1905020||3||1,-3
1||1911603||4||3,-1
1||1915664||3||3,-1
1||1915664||3||4,-1
1||1915664||4||4,1
1||1924241||2||1,-1
1||1936449||2||1,-1
1||1937489||2||1,-1
1||1948173||5||22,-6
1||1948173||6||22,-2
1||1949498||2||1,-1
1||1949604||2||2,-1
1||1958448||2||1,-88
1||1961571||2||1,-2
1||1962852||2||1,-2
1||1962952||2||1,-25
1||1962952||2||2,-25
1||1962952||2||3,-4
1||1962952||2||4,-4
1||1965258||5||13,-6
1||1969398||2||2,-5
1||1976809||1||2,2
1||1977779||5||11,-1
1||1984001||2||3,-1
1||1985440||2||5,-1
1||1985440||2||6,-1
1||1985440||2||7,-2
1||1985440||2||8,-2
1||1985440||2||9,-8
1||1985440||2||10,-8
1||1985440||2||11,-8
1||1985440||2||22,-2
1||1985440||2||23,-2
1||1985440||2||27,1
1||1985440||2||28,1
1||1985440||2||29,1
1||1985440||2||30,1
1||1985440||2||31,1
1||1985440||2||32,1
1||1985440||2||33,1
1||1985440||2||34,1
1||1985440||2||35,1
1||1992020||1||1,1
1||1994312||2||1,-1
1||1995590||3||1,1
1||1996805||4||7,1
1||1997491||2||1,-10
1||1998254||2||1,-1
1||1998644||1||1,2
1||1999373||1||1,1
1||1999373||1||2,1
1||1999519||1||2,1
1||2001938||1||1,10
1||2002931||2||2,-1
1||2003188||1||1,1
1||2003188||1||2,1
1||2003188||1||3,1
1||2003188||1||4,1
1||2003188||1||5,10
1||2003188||1||6,1
1||2003188||1||7,1
1||2003188||2||1,-1
1||2003188||2||2,-1
1||2003188||2||3,-1
1||2003188||2||4,-1
1||2003188||2||5,-10
1||2003188||2||6,-1
1||2003188||2||7,-1
1||2003944||1||1,3
1||2003944||1||4,1
1||2003944||1||5,3
1||2003944||1||6,2
1||2004090||1||3,1
1||2004433||1||1,2
1||2004433||1||2,1
1||2004433||1||4,1
1||2004433||1||9,1
1||2004872||2||2,-1
1||2005150||2||1,-1
1||2005348||1||1,22
1||2006451||2||1,-4
1||2007015||1||1,1
1||2007015||1||2,1
1||2007030||1||1,1
1||2007030||1||2,1
1||2007030||1||3,2
1||2007030||1||4,1
1||2009027||3||1,-1
1||2009027||3||2,-1
1||2009027||3||3,1
1||2009027||3||4,1
1||2009088||2||1,-2
1||2009088||2||2,-34.4
1||2009088||2||3,-1
1||2009088||2||4,-1
1||2009088||2||5,-2
1||2009088||2||6,-3
1||2009088||2||7,-1
1||2009115||2||1,-1
1||2009115||2||2,-1
1||2009115||2||3,-1
1||2009115||2||4,-1
1||2009115||2||5,-1
1||2009115||2||6,-1
1||2009115||2||7,-1
1||2010908||2||1,-1
1||2011818||2||1,1
1||2011818||3||1,1
1||2011818||3||4,1
1||2011818||3||5,1
1||2013540||1||3,1
1||2013540||1||4,1
1||2013972||3||3,-1
1||2013972||3||6,1
1||2014135||2||8,-1
1||2014158||2||1,8
1||2014568||2||2,-1
1||2014736||2||2,-1
1||2014736||2||4,-1
1||2015316||1||1,10
1||2015554||1||1,10
1||2015972||2||2,-1
1||2016334||2||1,50
1||2017177||1||4,4
1||2017177||2||7,1
1||2017177||2||8,1
1||2017177||2||9,1
1||2017177||2||10,1
1||2017177||2||11,4.285
1||2017177||2||12,1
1||2017177||3||15,1
1||2017177||3||16,1
1||2017177||3||18,1
1||2017177||4||6,1
1||2017177||4||19,1
1||2017177||5||20,1
1||2017177||5||21,1
1||2017177||6||24,1
1||2017177||6||25,1
1||2017177||7||26,1
1||2017177||7||27,1
1||2017177||7||28,1
1||2017177||8||29,1
1||2018532||2||1,1
1||2018532||2||4,1
1||2018532||2||5,1
1||2018568||1||1,1
1||2018654||3||2,-1
1||2018987||2||2,-1
1||2019205||2||1,-1
1||2019508||1||3,1
1||2019508||1||4,1
1||2019936||4||2,-3
1||2019936||5||2,-2
1||2019987||1||3,10
1||2019987||1||4,3
1||2019987||1||6,1
1||2019987||1||7,1
1||2019987||1||8,2
1||2020216||1||5,1
1||2020220||1||1,1
1||2020220||1||2,4
1||2020220||1||3,1
1||2020220||1||4,1
1||2020220||1||5,1
1||2020220||1||6,1
1||2020220||1||7,1
1||2020220||1||8,1
1||2020220||1||9,2
1||2020220||1||11,1
1||2020220||1||12,1
1||2020469||2||2,-1
1||2020641||1||1,1
1||2020641||1||2,1
1||2020641||1||4,1
1||2020996||1||4,2
1||2020996||1||5,1
1||2020996||1||6,2
1||2021661||1||5,1
1||2021661||2||6,1
1||2021661||2||7,1
1||2021661||3||7,-1
1||2021837||1||1,1
1||2022069||3||2,-1
1||2022351||6||1,-1
1||2022531||2||2,-2
1||2022592||1||1,1
1||2022860||2||1,1
1||2022988||1||1,2
1||2022988||1||2,2
1||2022988||1||5,1
1||2023180||1||2,2
1||2023180||1||3,1
1||2023403||1||1,2
1||2023684||3||2,-1
1||2023994||2||1,2
1||2024389||1||21,1
1||2024389||1||22,1
1||2024389||1||23,1
1||2024512||2||8,-1
1||2024512||2||13,-2
1||2024751||2||1,-1
1||2025022||2||1,50
1||2025653||2||1,-6
1||2025798||1||3,1
1||2025798||1||4,1
1||2025798||1||5,1
1||2025798||1||6,1
1||2025798||1||7,1
1||2025798||1||8,2
1||2025828||2||2,-1
1||2025854||1||1,1
1||2025953||1||1,1
1||2026023||2||1,-1
1||2026090||1||1,1
1||2026090||1||2,1
1||2026090||1||3,2
1||2026090||1||4,2
1||2026090||1||5,1
1||2026090||1||7,1
1||2026090||1||8,1
1||2026147||1||2,1
1||2026147||1||3,1
1||2026147||1||4,1
1||2026192||1||1,5
1||2026192||1||2,2
1||2026192||1||4,5
1||2026192||1||5,5
1||2026192||1||6,1
1||2026192||1||7,1
1||2026192||1||8,2
1||2026528||2||6,-2
1||2026528||2||7,-1
1||2026528||2||8,-1
1||2026528||2||9,-1
1||2026528||2||10,-1
1||2026528||2||13,-1
1||2026528||2||14,-1
1||2026528||2||15,-1
1||2027031||1||6,1
1||2027031||1||7,2
1||2027031||1||9,3
1||2027031||1||10,2
1||2027031||2||11,1
1||2027031||3||11,-1
1||2027199||2||1,6
1||2027305||2||1,-1
1||2027482||1||7,1
1||2027536||1||5,1
1||2027565||1||2,1
1||2027589||2||1,-1
1||2027738||1||1,10
1||2028014||1||1,15
1||2028014||2||2,1
1||2028014||2||4,2
1||2028014||2||5,1
1||2028014||3||12,1
1||2028014||3||13,1
1||2028014||3||14,4.285
1||2028014||4||6,1
1||2028014||4||7,4.25
1||2028014||5||15,4
1||2028014||5||16,1
1||2028014||5||17,1
1||2028014||6||12,-1
1||2028014||6||13,-1
1||2028014||6||14,-4.285
1||2028109||1||2,1
1||2028109||2||1,1
1||2028154||1||1,1
